type,type_name_zh,type_name_en
2381,湖风通知,Lake Wind Advisory
2382,扬尘通知,Blowing Dust Advisory
2383,粉尘通知,Dust Advisory
2384,大风通知,Brisk Wind Advisory
2385,小型船只风险通知,Small Craft Advisory
2386,小型船只风速通知,Small Craft Advisory For Winds
2387,河流入口小型船只通知,Small Craft Advisory For Rough Bar
2388,危险海域小型船只通知,Small Craft Advisory For Hazardous Seas
2389,浓烟通知,Dense Smoke Advisory
2390,浓雾通知,Dense Fog Advisory
2391,海浪高涨通知,High Surf Advisory
2392,沿海洪水通知,Coastal Flood Advisory
2393,湖岸洪水通知,Lakeshore Flood Advisory
2394,水文通知,Hydrologic Advisory
2395,洪水通知,Flood Advisory
2396,高温通知,Heat Advisory
2397,风寒通知,Wind Chill Advisory
2398,冬季天气通知,Winter Weather Advisory
2399,雪崩通知,Avalanche Advisory
2400,海啸通知,Tsunami Advisory
2409,洪水报告,Flood Statement
2411,水文展望,Hydrologic Outlook
2412,危险天气展望,Hazardous Weather Outlook
2413,空气质量警报,Air Quality Alert
2414,极端火灾危险,Extreme Fire Danger
2415,海洋天气报告,Marine Weather Statement
2416,特殊天气报告,Special Weather Statement
2417,湖岸洪水报告,Lakeshore Flood Statement
2418,沿海洪水报告,Coastal Flood Statement
2419,海滩危害报告,Beach Hazards Statement
2420,激流报告,Rip Current Statement
2421,热带低气压当地报告,Tropical Depression Local Statement
2422,热带风暴当地报告,Tropical Storm Local Statement
2423,当地台风报告,Typhoon Local Statement
2424,当地飓风报告,Hurricane Local Statement
2425,恶劣天气报告,Severe Weather Statement
2426,山洪暴发报告,Flash Flood Statement
2501,大雨,Heavy Rain
2502,暴雨,Very Heavy Rain
2521,中雨,Moderate Rain
2522,雨,Light Rain
2523,大雨,Heavy Rain
2524,雾,Light Mist
2525,扬尘,Raised Dust
2526,大风,High Winds
2527,浮尘,Dusty plankton
2528,活跃强风,Active Winds
2529,热浪,Heat Wave
2530,寒潮,Cold Wave
2531,雾,Fog
2532,薄雾,Light Fog
2550,大雨,Heavy Rain
2551,大风,Strong Wind
2552,大雪,Heavy Snow
2553,雷暴,Thunderstorms
2554,道路积雪,Road Snowfall
9999,其他预警,Other Warning
